timestamp,balance_in_USD,profit_loss_in_USD,exact_return
2022-12-16 07:45:02,127.208,-0.0479999999999814,-0.000377192431005072
2022-12-16 08:45:14,191.034,0.0950000000000228,0.000481821705020564
2022-12-16 09:45:19,254.924,0.229000000000035,0.00104046015822849
2022-12-16 10:45:29,318.5,0.122999999999984,0.000292079005800782
2022-12-16 11:45:34,318.665,0.25799999999998,0.000810283693511702
2022-12-16 12:45:40,318.7,0.292999999999988,0.000920205899995878
2022-12-16 13:45:46,319.655,1.24800000000003,0.00391951181977792
2022-12-16 14:45:53,319.03,0.622999999999985,0.00195661527541789
2022-12-16 15:45:58,319.4,0.993000000000022,0.00311865002967906
2022-12-16 16:46:07,318.85,0.443000000000027,0.00139130107064238
