timestamp,balance_in_USD,profit_loss_in_USD,exact_return
2022-12-16 07:45:02,200.029028824548,0.0290288245476333,0.000155893863157389
2022-12-16 08:45:11,300.017202636304,0.0236531162980482,5.73421210132768e-05
2022-12-16 09:45:21,399.825722123608,-0.148449349727322,-0.000435694690979613
2022-12-16 10:45:27,500.277234531818,0.293343362166193,0.000554469063634954
2022-12-16 11:45:37,501.231231231231,1.23123123123121,0.00246246246246242
2022-12-16 12:45:40,501.354234798366,1.35423479836587,0.00270846959673173
2022-12-16 13:45:44,501.097462854691,1.09746285469076,0.00219492570938153
2022-12-16 14:45:53,501.818960899839,1.81896089983929,0.00363792179967858
2022-12-16 15:45:58,501.584035324631,1.58403532463076,0.00316807064926153
2022-12-16 16:46:04,502.037669582722,2.03766958272209,0.00407533916544418
